Car,Model,Mode,Driven (km),Fuel,Horse Power,Location,Price (Rs : lacs)
Toyota Fortuner  2022 2.7 VVTi ,2014,Automatic,"230,000",Hybrid,1500,Lahore,PKR 32.4 lacs
KIA Sport,2021,Automatic,"24,000",Diesel,2800,Lahore,PKR 1.53 crore
Audi,2013,Automatic,"137,200",Petrol,660,Lahore,PKR 13.5 lacs
Toyota Ya,2021,Automatic,"15,000",Petrol,1500,Lahore,PKR 49 lacs
Honda C,2020,Automatic,"40,400",Petrol,2000,Lahore,PKR 69.5 lacs
Suzuki Cul,2020,Automatic,"23,000",Petrol,996,Lahore,PKR 56 lacs
Toyota Coro,2009,Automatic,"139,000",Petrol,1000,Lahore,PKR 24.9 lacs
Toyota Pr,2019,Manual,"68,300",Petrol,800,Lahore,PKR 14.5 lacs
Honda C,1995,Automatic,"190,000",Diesel,2800,Lahore,PKR 24.5 lacs
Honda N ,2006,Manual,"75,000",Petrol,1000,Lahore,PKR 11.15 lacs
Suzuki Cul,2018,Manual,"150,000",Petrol,1300,Lahore,PKR 35.25 lacs
Toyota Land Cruiser  2013 ZX ,2018,Automatic,"10,700",Petrol,2700,Lahore,PKR 2.93 crore
Toyota Yaris  2021 GLI CVT 1.3 ,2014,Automatic,"71,000",Petrol,660,Lahore,PKR 25.9 lacs
Toyota Corolla  2018 GLi Automatic 1.3 VVTi ,2022,Automatic,"85,000",Petrol,1200,Lahore,PKR 44 lacs
Suzuki Alto  2010 VXR ,2024,Automatic,20,Hybrid,1500,Lahore,PKR 1.24 crore
Suzuki Alto  2021 VXR ,2001,Automatic,"187,000",Petrol,1900,Lahore,PKR 18.5 lacs
Honda Vezel  2016 Hybrid X Honda Sensing ,2021,Automatic,"57,000",Petrol,1500,Lahore,PKR 44 lacs
Toyota Corolla  2018 Altis Grande CVT-i 1.8 ,2005,Manual,"240,000",Diesel,3200,Lahore,PKR 29.5 lacs
Mercedes Benz E Class  2016 E200 ,2006,Automatic,"5,000",Petrol,660,Lahore,PKR 10.5 lacs
Honda City 5th Generation 2018 1.3 i-VTEC ,2020,Automatic,"20,000",Petrol,996,Lahore,PKR 49.5 lacs
Honda Civic  2019 Oriel 1.8 i-VTEC CVT ,2022,Automatic,"28,000",Petrol,1500,Lahore,PKR 39 lacs
Suzuki Mehran  2019 VX Euro II Limited Edition ,2023,Manual,21,Petrol,660,Lahore,PKR 23 lacs
Honda City  2018 Aspire 1.3 i-VTEC ,2017,Automatic,"108,000",Petrol,1800,Lahore,PKR 44.9 lacs
Honda Civic  2021 Oriel 1.8 i-VTEC CVT ,2006,Manual,"114,530",Petrol,800,Lahore,PKR 10.2 lacs
Toyota Corolla  2015 GLi 1.3 VVTi ,2005,Automatic,"196,000",Diesel,3000,Lahore,PKR 45 lacs
Honda N Box  2015 2Tone Color Style - G Turbo L Package ,2020,Automatic,"23,000",Petrol,2000,Lahore,PKR 70 lacs
Toyota Vitz  2005 F 1.0 ,2017,Automatic,"80,000",Petrol,1800,Lahore,PKR 54.5 lacs
Nissan Roox  2021 S Hybrid ,2021,Automatic,"30,000",Petrol,1000,Lahore,PKR 52 lacs
Nissan Leaf  2021  ,1995,Automatic,"300,000",Petrol,2500,Lahore,PKR 19.5 lacs
Peugeot 2008  2023 Allure ,2013,Manual,"84,000",Petrol,1000,Lahore,PKR 14.25 lacs
Suzuki Alto  2014 ECO-L ,2023,Automatic,"3,500",Petrol,660,Lahore,PKR 31.5 lacs
Toyota Land Cruiser  2016 ZX ,2014,Automatic,"84,000",Petrol,660,Lahore,PKR 25 lacs
Toyota Land Cruiser  2021 ZX ,2022,Automatic,"6,435",Petrol,1800,Lahore,PKR 73 lacs
Honda City  2000 EXi ,2024,Automatic,1,Petrol,1500,Lahore,PKR 85 lacs
Toyota Land Cruiser 100 Series 2005 VX Limited 4.2D ,2019,Automatic,"57,000",Petrol,1500,Lahore,PKR 63.5 lacs
Daihatsu Taft  2021  ,2019,Automatic,"58,000",Petrol,1800,Lahore,PKR 60.25 lacs
KIA Sport,2018,Manual,"82,000",Petrol,1300,Lahore,PKR 39.45 lacs
Audi,2018,Automatic,"62,000",Petrol,1000,Lahore,PKR 27.25 lacs
Toyota Ya,2016,Automatic,"80,000",Petrol,2700,Lahore,PKR 82 lacs
Honda C,2021,Automatic,"35,000",Petrol,1300,Lahore,PKR 41.5 lacs
Suzuki Cul,2020,Automatic,"20,000",Petrol,1300,Lahore,PKR 52 lacs
Toyota Coro,1996,Automatic,"150,000",Diesel,3000,Lahore,PKR 41.99 lacs
Toyota Pr,2007,Manual,"150,000",Petrol,1000,Lahore,PKR 8.5 lacs
Honda C,2020,Automatic,"21,000",Petrol,658,Lahore,PKR 35.5 lacs
Honda N ,2006,Manual,"200,000",Petrol,1000,Lahore,PKR 8.75 lacs
Suzuki Cul,2022,Automatic,"26,500",Petrol,2000,Lahore,PKR 76.5 lacs
Honda City  2021 1.2L CVT ,2005,Automatic,"140,000",Diesel,4164,Lahore,PKR 90 lacs
Suzuki Wagon R  2021 Hybrid FX ,1985,Manual,"200,000",Petrol,1000,Lahore,PKR 2.6 lacs
Honda Civic Eagle Eye 2006 EXi ,2013,Manual,"88,000",Petrol,1000,Lahore,PKR 13.4 lacs
Honda City  2003 EXi ,2020,Automatic,"52,000",Petrol,660,Lahore,PKR 38 lacs
KIA Grand Carnival  2021 GLS+ ,2017,Automatic,"110,000",Petrol,1600,Lahore,PKR 44 lacs
Range Rover Vogue  2018 P400e ,2021,Manual,"30,440",Petrol,1000,Lahore,PKR 23 lacs
Toyota Corolla  2013 GLi 1.3 VVTi ,2017,Automatic,"54,000",Petrol,1400,Lahore,PKR 1.18 crore
KIA Sportage  2021 AWD ,2006,Manual,"151,000",Petrol,1800,Lahore,PKR 18.75 lacs
Suzuki Jimny  1988  ,2017,Manual,"95,000",Petrol,1000,Lahore,PKR 21.5 lacs
Honda Civic  2021 Oriel 1.8 i-VTEC CVT ,2019,Automatic,"61,000",Petrol,660,Lahore,PKR 23.9 lacs
Toyota Corolla  2016 Altis Grande CVT-i 1.8 ,2017,Manual,"129,000",Petrol,1300,Lahore,PKR 16 lacs
Honda HR-V  2023 VTi-S ,2008,Manual,"1,000",Diesel,3200,Lahore,PKR 27.5 lacs
Honda Civic  2006 EXi Prosmatec ,2020,Automatic,"73,500",Petrol,1600,Lahore,PKR 53.4 lacs
Suzuki Alto  2022 VXL AGS ,2007,Manual,"57,633",Petrol,800,Lahore,PKR 6.5 lacs
Toyota Hilux  2021 Revo V Automatic 2.8 ,2015,Automatic,"63,000",Petrol,660,Lahore,PKR 20.5 lacs
Nissan Dayz  2014 S ,2009,Manual,"183,000",Petrol,1300,Lahore,PKR 21 lacs
Honda City  2023 1.5L ASPIRE CVT ,2016,Automatic,"63,500",Hybrid,1500,Lahore,PKR 61.25 lacs
Toyota Passo  2016 X L Package ,2020,Automatic,"71,000",Petrol,1500,Lahore,PKR 39.5 lacs
Changan Oshan X7  2023 FutureSense ,2019,Manual,"52,000",Petrol,1000,Lahore,PKR 24 lacs
Suzuki Cultus  2005 VXR ,2023,Automatic,10,Petrol,2000,Lahore,PKR 85.75 lacs
Honda City 5th Generation 2019 1.3 i-VTEC Prosmatec ,2024,Manual,10,Petrol,1500,Lahore,PKR 44 lacs
Honda Civic Reborn 2011 VTi Oriel Prosmatec 1.8 i-VTEC ,2017,Automatic,"50,300",Petrol,1300,Lahore,PKR 42 lacs
Honda BR-V  2018 i-VTEC ,2015,Automatic,"125,000",Petrol,660,Lahore,PKR 26.5 lacs
Honda City 5th Generation 2010 1.3 i-VTEC ,2022,Manual,"38,000",Petrol,1000,Lahore,PKR 29.25 lacs
Honda City  2017 1.3 i-VTEC Prosmatec ,2021,Automatic,"16,000",Petrol,1800,Lahore,PKR 71 lacs
KIA Sport,2019,Automatic,"48,000",Petrol,1800,Lahore,PKR 54.5 lacs
Audi,2019,Manual,"40,000",Petrol,1300,Lahore,PKR 19.5 lacs
Toyota Ya,2007,Manual,"96,000",Petrol,800,Lahore,PKR 7.15 lacs
Honda C,2019,Automatic,"60,000",Petrol,1600,Lahore,PKR 51 lacs
Suzuki Cul,2018,Automatic,"84,000",Petrol,660,Lahore,PKR 25.5 lacs
Toyota Coro,1993,Manual,"200,000",Diesel,2400,Lahore,PKR 19.5 lacs
Toyota Pr,2001,Automatic,"110,000",Petrol,4663,Lahore,PKR 90 lacs
Honda C,2021,Manual,"27,000",Petrol,1500,Lahore,PKR 51 lacs
Honda N ,2007,Manual,"67,194",Petrol,1000,Lahore,PKR 8.1 lacs
Suzuki Cul,2006,Manual,"200,000",Petrol,1000,Lahore,PKR 9.5 lacs
Toyota Corolla  2021 Altis X Automatic 1.6 ,2020,Manual,"60,000",Petrol,1800,Lahore,PKR 50 lacs
Honda City 5th Generation 2020 1.5 i-VTEC ,2013,Automatic,"95,000",Petrol,660,Lahore,PKR 14.78 lacs
Audi A5  2014 1.8 TFSI ,2010,Automatic,"150,000",Hybrid,1800,Lahore,PKR 37.5 lacs
Suzuki Wagon R  2022  ,2020,Automatic,"43,000",Petrol,1500,Lahore,PKR 42.9 lacs
Toyota Corolla  2018 Altis Automatic 1.6 ,2014,Automatic,"55,000",Petrol,660,Lahore,PKR 27.5 lacs
Suzuki Wagon R  2018 VXL ,2017,Automatic,"78,000",Hybrid,1200,Lahore,PKR 48 lacs
Suzuki Cultus  2021 Auto Gear Shift ,2017,Automatic,"62,000",Petrol,1000,Lahore,PKR 31.75 lacs
Suzuki Khyber  1998  ,2021,Automatic,"5,000",Hybrid,1496,Lahore,PKR 1.35 crore
Nissan Otti  2011  ,2018,Automatic,"42,000",Petrol,1600,Lahore,PKR 44.75 lacs
Power  Mini Bus  2017  ,2000,Manual,786,Petrol,1500,Lahore,PKR 11.5 lacs
Honda Vezel  2015 Hybrid Z ,1985,Manual,"99,999",Diesel,1800,Lahore,PKR 5.35 lacs
Suzuki Cultus  2018 VXL ,1987,Manual,"100,000",Diesel,2500,Lahore,PKR 22 lacs
Honda City  2018 1.3 i-VTEC ,2007,Manual,"80,000",Petrol,1000,Lahore,PKR 9.5 lacs
MG HS  2021 Trophy ,2020,Automatic,"30,000",Petrol,1800,Lahore,PKR 65.3 lacs
Suzuki Alto  2023 VX ,2022,Automatic,"24,900",Petrol,2000,Lahore,PKR 72.75 lacs
Toyota Corolla  1973  ,1996,Manual,"100,000",Petrol,800,Lahore,PKR 3.5 lacs
Toyota Land Cruiser  2014 ZX ,2022,Automatic,"24,000",Petrol,1500,Lahore,PKR 77 lacs
Suzuki Swift  2022 GLX CVT ,2020,Automatic,"37,000",Petrol,1000,Lahore,PKR 41.25 lacs
Honda City 5th Generation 2013 Aspire Prosmatec 1.5 i-VTEC ,2018,Automatic,"85,000",Petrol,1300,Lahore,PKR 38.25 lacs
Suzuki Swift  2022 GLX CVT ,2006,Manual,"123,456",Petrol,1800,Lahore,PKR 17 lacs
Honda City 5th Generation 2018 1.5 i-VTEC Prosmatec ,2019,Manual,"58,000",Petrol,1000,Lahore,PKR 22 lacs
Toyota Yaris  2024 ATIV CVT 1.3 ,2021,Manual,"45,000",Petrol,1300,Lahore,PKR 37 lacs
Honda City  2023 1.5L ASPIRE CVT ,2000,Manual,"175,000",Petrol,1600,Lahore,PKR 13.5 lacs
Toyota Fortuner  2023 Legender  ,2013,Automatic,"95,000",Petrol,1300,Lahore,PKR 26 lacs
Toyota Voxy  2016 X ,2023,Automatic,36,Petrol,660,Lahore,PKR 29.65 lacs
KIA Sport,2017,Automatic,"43,500",Petrol,1500,Lahore,PKR 39 lacs
Audi,2023,Automatic,25,Petrol,1600,Lahore,PKR 67.3 lacs
Toyota Ya,2015,Manual,"46,000",Petrol,796,Lahore,PKR 10.99 lacs
Honda C,2018,Automatic,"40,000",Petrol,660,Lahore,PKR 36 lacs
Suzuki Cul,2021,Automatic,"28,000",Diesel,2800,Lahore,PKR 1.58 crore
Toyota Coro,2013,Automatic,"128,000",Petrol,2700,Lahore,PKR 74.5 lacs
Toyota Pr,2016,Automatic,"58,000",Petrol,660,Lahore,PKR 19 lacs
Honda C,2005,Manual,123,Petrol,1300,Lahore,PKR 13.5 lacs
Honda N ,2008,Manual,"95,000",Petrol,800,Lahore,PKR 6.95 lacs
Suzuki Cul,2021,Manual,"75,000",Petrol,999,Lahore,PKR 23.85 lacs
Hyundai Elantra  2021 GLS ,2006,Manual,"27,000",Petrol,800,Lahore,PKR 7.1 lacs
Toyota Fortuner  2023 GR-S ,2020,Automatic,"32,000",Petrol,1000,Lahore,PKR 39 lacs
Haval H6  2023 HEV ,2022,Automatic,"8,994",Petrol,1300,Lahore,PKR 45.9 lacs
Suzuki Wagon R  2019 VXL ,1992,Manual,"250,000",Petrol,1000,Lahore,PKR 3.35 lacs
DFSK Glory 580  2021  ,2018,Automatic,"74,000",Petrol,996,Lahore,PKR 39 lacs
Toyota Corolla  2018 Altis Automatic 1.6 ,2022,Manual,"90,000",Petrol,1000,Lahore,PKR 27.5 lacs
Daihatsu Mira  2020 X SA lll ,2009,Manual,"165,000",Petrol,1300,Lahore,PKR 22 lacs
Suzuki Mehran  2015 VX Euro II Limited Edition ,2020,Automatic,"14,000",Petrol,660,Lahore,PKR 53 lacs
Honda City 5th Generation 2012 1.3 i-VTEC ,2008,Manual,"50,000",Petrol,800,Lahore,PKR 6.5 lacs
Toyota Hilux  2005 Double Cab ,2018,Automatic,"91,000",Petrol,1300,Lahore,PKR 42 lacs
Toyota Prius  2010  ,2014,Automatic,"786,786",Petrol,1300,Lahore,PKR 32 lacs
Honda BR-V  2018 i-VTEC ,2007,Manual,8,Petrol,1000,Lahore,PKR 9.5 lacs
Honda City  2017 1.3 i-VTEC ,2017,Automatic,"105,000",Petrol,1800,Lahore,PKR 44.8 lacs
Daihatsu Mira  2015 ES ,2021,Automatic,"40,000",Petrol,1000,Lahore,PKR 48.75 lacs
Honda City  2015 1.3 i-VTEC Prosmatec ,2018,Automatic,"96,000",Hybrid,1500,Lahore,PKR 64.9 lacs
Honda Civic  1990  ,2013,Automatic,"90,000",Hybrid,1300,Lahore,PKR 28 lacs
Toyota Passo  2020 X S  ,2021,Automatic,"24,000",Petrol,1600,Lahore,PKR 57.25 lacs
Suzuki Swift  2017 DLX 1.3 ,2021,Manual,"68,000",Petrol,1300,Lahore,PKR 37.8 lacs
Prince K01  2022 S ,2006,Automatic,"115,300",Petrol,1500,Lahore,PKR 16.95 lacs
Toyota Corolla  2019 Altis CVT-i 1.8 ,2006,Manual,"48,000",Petrol,1300,Lahore,PKR 15.5 lacs
Toyota Corolla  2022 Altis Grande X CVT-i 1.8 Black Interior ,2014,Automatic,"69,480",Hybrid,1500,Lahore,PKR 51 lacs
MG HS  2021 1.5 Turbo ,2014,Automatic,"141,000",Petrol,660,Lahore,PKR 21.6 lacs
Toyota Fortuner  2023 Legender  ,2003,Automatic,"152,000",Diesel,4164,Lahore,PKR 1.15 crore
Hyundai Santro  2008 Club GV ,2012,Automatic,"78,000",Hybrid,1500,Lahore,PKR 31.5 lacs
Honda Vezel  2020 Hybrid Z ,2019,Automatic,"66,000",Petrol,1300,Lahore,PKR 43.9 lacs
KIA Sport,2016,Automatic,"100,000",Petrol,660,Lahore,PKR 24 lacs
Audi,2013,Automatic,"100,000",Petrol,1800,Lahore,PKR 45 lacs
Toyota Ya,2008,Automatic,"145,000",Petrol,1800,Lahore,PKR 22.3 lacs
Honda C,2020,Automatic,"13,000",Electric,75.0,Lahore,PKR 2.15 crore
Suzuki Cul,2022,Automatic,500,Petrol,3400,Lahore,Call
Toyota Coro,2020,Automatic,"23,000",Petrol,1991,Lahore,Call
Toyota Pr,2011,Automatic,"143,000",Petrol,1800,Lahore,PKR 21.8 lacs
Honda C,2009,Automatic,"114,000",Petrol,1800,Lahore,PKR 24.35 lacs
Honda N ,2021,Automatic,"14,000",Petrol,660,Lahore,PKR 32.8 lacs
Suzuki Cul,2009,Manual,"98,000",Petrol,1000,Lahore,PKR 10.25 lacs
Toyota Prius  2008 S 1.5 ,2021,Automatic,"30,000",Petrol,660,Lahore,PKR 29.7 lacs
Toyota Corolla  2021 Altis 1.6 X CVT-i ,2021,Automatic,"13,000",Hybrid,659,Lahore,PKR 32.8 lacs
Toyota Corolla  2009 Altis SR Cruisetronic 1.8 ,2018,Automatic,"78,000",Hybrid,1500,Lahore,PKR 55.5 lacs
Honda Civic Rebirth 2012 VTi Oriel Prosmatec 1.8 i-VTEC ,2020,Automatic,"53,000",Petrol,660,Lahore,PKR 29.7 lacs
Toyota Corolla  2023 Altis X CVT-i 1.8 ,2023,Automatic,"7,500",Petrol,2000,Lahore,PKR 85.25 lacs
Suzuki Alto  2021 VXL AGS ,2000,Manual,123,Petrol,1000,Lahore,PKR 7.95 lacs
Honda Civic  2016 1.8 i-VTEC CVT ,2000,Automatic,"129,000",Petrol,3378,Lahore,PKR 67 lacs
Daihatsu Cuore  2008 CX ,2016,Automatic,"129,000",Petrol,1500,Lahore,PKR 44.55 lacs
MG HS  2021 Trophy ,1996,Manual,"71,180",Petrol,1300,Lahore,PKR 7.5 lacs
Toyota Vitz  2009 B Intelligent Package 1.0 ,2018,Automatic,"103,000",Diesel,2800,Lahore,PKR 1.05 crore
Toyota Corolla  2017 GLi 1.3 VVTi Special Edition ,2013,Automatic,"104,000",Petrol,1000,Lahore,PKR 27.75 lacs
Nissan Roox  2021  ,2019,Automatic,"24,000",Petrol,1000,Lahore,PKR 37.5 lacs
Honda City 5th Generation 2017 1.3 i-VTEC ,2004,Manual,"167,000",Petrol,1300,Lahore,PKR 9.5 lacs
Suzuki Mehran  1996 VXR (CNG) ,2019,Manual,"42,000",Petrol,1000,Lahore,PKR 24.5 lacs
Toyota Fortuner  2013 2.7 VVTi ,1996,Manual,"1,000",LPG,1100,Lahore,PKR 3.8 lacs
Honda City  2017 1.3 i-VTEC Prosmatec ,2010,Manual,"100,000",Petrol,1300,Lahore,PKR 20.45 lacs
Mercedes Benz E Class  2004 E240 ,2007,Manual,"92,500",Petrol,1000,Lahore,PKR 9.9 lacs
Toyota Corolla  2014 Altis Grande CVT-i 1.8 ,2010,Manual,"202,383",Petrol,800,Lahore,PKR 8.5 lacs
Honda N One  2013  ,2012,Automatic,"180,000",Hybrid,1500,Lahore,PKR 36 lacs
KIA Sportage  2022 AWD ,2020,Automatic,"41,000",Petrol,1800,Lahore,PKR 62.25 lacs
Suzuki Alto  2024 VXR ,2021,Automatic,"47,000",Petrol,1500,Lahore,PKR 64.95 lacs
Honda City 6th Generation 2022 1.2L CVT ,2019,Automatic,"99,000",Petrol,1300,Lahore,PKR 45.65 lacs
Range Rover Vogue  2019 P400e ,2022,Automatic,"5,000",Petrol,1200,Lahore,PKR 77.85 lacs
DFSK Glory 580  2021 Pro ,2021,Automatic,"28,000",Petrol,1800,Lahore,PKR 65.25 lacs
Honda Civic Rebirth 2013 VTi Oriel Prosmatec 1.8 i-VTEC ,2009,Automatic,"119,000",Petrol,2700,Lahore,PKR 1.48 crore
KIA Sport,2021,Manual,"26,000",Petrol,1000,Lahore,PKR 28.5 lacs
Audi,2017,Manual,"96,000",Petrol,1000,Lahore,PKR 21.45 lacs
Toyota Ya,2016,Automatic,"107,500",Petrol,1600,Lahore,PKR 40 lacs
Honda C,2013,Automatic,"138,000",Hybrid,1500,Lahore,PKR 39.5 lacs
Suzuki Cul,2018,Automatic,"64,500",Petrol,1800,Lahore,PKR 60 lacs
Toyota Coro,1997,Manual,"65,000",Petrol,2200,Lahore,PKR 11.35 lacs
Toyota Pr,2009,Automatic,"174,060",Petrol,660,Lahore,PKR 14.8 lacs
Honda C,2021,Automatic,"81,000",Petrol,1000,Lahore,PKR 26.5 lacs
Honda N ,2008,Manual,"28,000",Petrol,800,Lahore,PKR 8 lacs
Suzuki Cul,2016,Manual,"124,000",Petrol,1000,Lahore,PKR 20.75 lacs
Suzuki Mehran  2011 VXR ,2015,Manual,"75,000",Petrol,796,Lahore,PKR 10.8 lacs
Toyota Surf  2003 SSR-X 2.7 ,2011,Manual,"71,000",Petrol,800,Lahore,PKR 12.95 lacs
KIA Sorento  2022 2.4 AWD ,1991,Manual,"200,000",Petrol,1300,Lahore,PKR 5.3 lacs
Toyota Corolla  2014 XLi VVTi Limited Edition ,2014,Automatic,"124,000",Petrol,1300,Lahore,PKR 29 lacs
Honda City  2016 Aspire 1.3 i-VTEC ,2014,Automatic,"124,000",Hybrid,1500,Lahore,PKR 32.25 lacs
Toyota Corolla  2016 GLi 1.3 VVTi ,2016,Manual,"33,000",Petrol,1000,Lahore,PKR 8.25 lacs
Toyota Corolla  2015 GLi 1.3 VVTi ,2021,Automatic,"24,000",Petrol,1500,Lahore,PKR 52 lacs
Toyota C-HR  2016 G-LED ,2017,Manual,"83,000",Petrol,1000,Lahore,PKR 21.45 lacs
Toyota Corolla  1988 SE Limited ,2005,Manual,"135,000",Petrol,800,Lahore,PKR 4.85 lacs
Suzuki Cultus  2021 VXR ,2013,Automatic,"90,000",Petrol,660,Lahore,PKR 14.8 lacs
Suzuki Alto  2022 VXR ,2014,Automatic,"66,000",Petrol,660,Lahore,PKR 24.5 lacs
Suzuki Swift  2016 DLX 1.3 ,1995,Automatic,"34,000",Diesel,3000,Lahore,PKR 32 lacs
Honda N Wgn  2014 G L Package ,2021,Automatic,"7,800",Hybrid,660,Lahore,PKR 30.5 lacs
Suzuki Alto  2012 VXR ,2018,Automatic,"45,000",Hybrid,1500,Lahore,PKR 72.5 lacs
Suzuki Alto  2012 VXR ,2023,Automatic,"14,500",Diesel,2800,Lahore,PKR 1.41 crore
Suzuki Alto  2015  ,2020,Manual,"56,500",Petrol,1300,Lahore,PKR 18.93 lacs
Toyota Hilux  1992 Double Cab ,2007,Manual,"9,000",Petrol,800,Lahore,PKR 7.15 lacs
Suzuki Alto  2022 VXR ,2007,Automatic,"146,459",Petrol,1500,Lahore,PKR 30.5 lacs
Toyota Corolla  2000  ,2021,Automatic,"30,101",Petrol,1800,Lahore,PKR 67.5 lacs
Honda City 5th Generation 2018 1.5 i-VTEC Prosmatec ,2022,Automatic,"21,000",Petrol,1800,Lahore,PKR 69 lacs
KIA Sportage  2021 AWD ,2019,Automatic,"45,000",Petrol,0.0,Lahore,PKR 2.75 crore
Mitsubishi Lancer  2006 GL ,2014,Automatic,"117,500",Hybrid,1800,Lahore,PKR 52.5 lacs
Honda Accord  2002 CF3 ,2021,Automatic,"24,000",Petrol,2000,Lahore,PKR 59.25 lacs
Honda City 5th Generation 2017 Aspire 1.3 i-VTEC ,2019,Manual,"164,000",Petrol,1000,Lahore,PKR 22.25 lacs
Suzuki Mehran  2006  ,2011,Manual,"157,718",Petrol,1300,Lahore,PKR 18.5 lacs
KIA Sport,2006,Automatic,"150,000",Petrol,1500,Lahore,PKR 20 lacs
Audi,2021,Automatic,"28,500",Petrol,1500,Lahore,PKR 53 lacs
Toyota Ya,2020,Automatic,"60,000",Petrol,1500,Lahore,PKR 70 lacs
Honda C,2014,Automatic,"67,000",Hybrid,1500,Lahore,PKR 52 lacs
Suzuki Cul,1997,Automatic,"180,000",Diesel,3000,Lahore,PKR 35.7 lacs
Toyota Coro,2020,Automatic,"28,000",Petrol,660,Lahore,PKR 36.65 lacs
Toyota Pr,2020,Automatic,"22,075",Petrol,660,Lahore,PKR 34.25 lacs
Honda C,2006,Manual,"215,000",Diesel,2500,Lahore,PKR 44 lacs
Honda N ,2005,Manual,"75,000",Petrol,800,Lahore,PKR 7.1 lacs
Suzuki Cul,2008,Automatic,"125,000",Petrol,660,Lahore,PKR 15.25 lacs
Honda Civic Rebirth 2012 VTi Oriel Prosmatec 1.8 i-VTEC ,2016,Automatic,"46,000",Hybrid,2000,Lahore,PKR 67 lacs
Suzuki Alto  2019 VXL AGS ,2013,Manual,"95,000",Petrol,1500,Lahore,PKR 26.4 lacs
Toyota Mark X  2005 300G Premium ,2019,Automatic,"63,000",Petrol,1300,Lahore,PKR 39.75 lacs
Honda City  2014 Aspire 1.5 i-VTEC ,2022,Automatic,"4,100",Petrol,660,Lahore,PKR 29 lacs
Honda City  2019 1.3 i-VTEC ,2022,Automatic,"50,000",Petrol,0.0,Lahore,PKR 28.75 lacs
Suzuki Cultus  2007 VXR ,2021,Automatic,"34,500",Petrol,1490,Lahore,PKR 54 lacs
Honda HR-V  2022 VTi-S ,2023,Automatic,"10,700",Diesel,2800,Lahore,PKR 2.06 crore
MG HS  2021 Trophy ,2020,Automatic,"17,000",Petrol,1000,Lahore,PKR 47.25 lacs
KIA Picanto  2023 1.0 AT ,2001,Automatic,"168,000",Petrol,1000,Lahore,PKR 13.75 lacs
Honda Civic  2017 Oriel 1.8 i-VTEC CVT ,2016,Manual,"55,000",Petrol,1000,Lahore,PKR 14.85 lacs
Suzuki Mehran  2019 VX Euro II Limited Edition ,2021,Manual,"70,000",Petrol,660,Lahore,PKR 24.5 lacs
Honda BR-V  2018 i-VTEC ,2021,Automatic,"42,000",Diesel,2800,Lahore,PKR 1.46 crore
Mitsubishi Lancer  2007 GLX Automatic 1.6 ,2015,Automatic,"99,000",Petrol,1800,Lahore,PKR 39.5 lacs
Suzuki Liana  2010  ,2018,Manual,"100,000",Petrol,800,Lahore,PKR 11.9 lacs
Honda City 5th Generation 2013 1.3 i-VTEC ,2006,Manual,"136,809",Petrol,1000,Lahore,PKR 7.5 lacs
Audi A4  2014 1.8 TFSI ,2018,Automatic,"95,000",Petrol,1500,Lahore,PKR 38.75 lacs
Nissan Clipper  2018 E Four Special Pack ,2016,Manual,"110,000",Petrol,1300,Lahore,PKR 30.95 lacs
KIA Stonic  2022 EX+ ,2013,Manual,"66,000",Petrol,800,Lahore,PKR 9 lacs
Toyota Aqua  2015 S ,2023,Automatic,80,Petrol,660,Lahore,PKR 29.5 lacs
Toyota Prius  2007 G Touring Selection Leather Package 1.5 ,2009,Manual,"194,000",Petrol,1000,Lahore,PKR 8.5 lacs
Toyota Vitz  2010 B Intelligent Package 1.0 ,2014,Automatic,"230,000",Hybrid,1500,Lahore,PKR 37 lacs
Honda Civic Rebirth 2014 VTi Oriel Prosmatec 1.8 i-VTEC ,2014,Manual,"150,000",Petrol,1800,Lahore,PKR 29.5 lacs
Toyota Passo  2021  ,2021,Manual,"5,500",Petrol,998,Lahore,PKR 31.75 lacs
Toyota Corolla  2017 Altis Grande CVT-i 1.8 ,2012,Manual,"170,000",Petrol,1600,Lahore,PKR 28 lacs
Toyota Corolla  2010 Altis Cruisetronic 1.8 ,2005,Manual,"175,000",Petrol,1300,Lahore,PKR 14 lacs
KIA Sport,2021,Manual,"27,806",Petrol,1000,Lahore,PKR 30 lacs
Audi,2013,Manual,"70,000",Petrol,796,Lahore,PKR 9.5 lacs
Toyota Ya,2012,Automatic,"121,800",Petrol,1000,Lahore,PKR 20.5 lacs
Honda C,2015,Automatic,"60,000",Diesel,2800,Lahore,PKR 1.1 crore
Suzuki Cul,2019,Automatic,"58,000",Petrol,2000,Lahore,PKR 67 lacs
Toyota Coro,2007,Automatic,"189,000",Petrol,1800,Lahore,PKR 18.48 lacs
Toyota Pr,2016,Automatic,"90,000",Petrol,1800,Lahore,PKR 47.5 lacs
Honda C,1997,Automatic,"162,000",Diesel,3000,Lahore,PKR 52 lacs
Honda N ,2012,Manual,"86,000",Petrol,800,Lahore,PKR 8 lacs
Suzuki Cul,2003,Automatic,"128,000",Petrol,1800,Lahore,PKR 35 lacs
Honda City  2016 1.3 i-VTEC ,2003,Automatic,"140,000",Petrol,1000,Lahore,PKR 13.6 lacs
Suzuki Wagon R  2021 VXR ,2009,Manual,"92,100",Petrol,1000,Lahore,PKR 9.55 lacs
Honda Civic  2000  ,2018,Automatic,"85,000",Petrol,1800,Lahore,PKR 47.95 lacs
